content,time,gender,user_level,score
不错哦，还可以,15708564000,0,1,10
复联终结篇，全程不敢上厕所，怕错过一帧画面，结局虽不是我喜欢的，但有时候遗憾也是一种美。,15708559200,1,1,10
好看是好看，时间太长啦，坐的我腰酸背疼，应该买躺椅的，可惜躺椅厅去的时候没有场次，😭 ,15708547800,0,3,8
不错，很震撼,15708544800,2,1,10
很nice 啊,15708537600,0,2,8
无话可说，棒极了。。。。。。。。。,15708534600,1,1,10
电影很不错，情节紧凑,15708517800,2,2,10
感觉不错，期待下一部,15708509400,2,2,8
最后托尼死了，有点伤心，爱你三千遍,15708503400,0,1,10
这个的特效倒是有点，还是没以前的震撼,15708492600,1,2,10
跟之前比没有那个感觉,15708492000,2,1,7
不如国产片好看,15708489000,1,1,5
4个小时的电影看的很爽，但是没有一个特别好的剧情,15708486000,1,2,7
还不错的电影，就是打戏太少了，没有那么激情，漫威的电影还是要支持一下的。,15708485400,0,2,8
理想的结局，激烈的对战，圆满的收官,15708484800,1,3,9
还是很不错的，,15708480600,2,2,8
超级搞笑呀，非常喜欢,15708465000,0,2,10
需要看很多遍，永远的经典,15708459600,2,3,10
好看             美，？？？,15708458400,1,2,10
影片很好看，好评。,15708457200,0,1,10
看的首映  三个小时  简直是太好看了,15708436200,1,2,10
特效做得非常的好,15708355800,0,2,10
无所谓，也就那样,15708226200,1,2,10
好看是好看，就是好看的地方太少,15708139200,0,2,10
真的到最后都没遗憾了吗？,15708129600,1,4,9
这算是漫威电影的一个终结吧，特效强大，当队长拿起雷神之锤的时候激动的要死，不过黑寡妇死了算是一个遗憾吧！,15708119400,1,3,9
Nice ！,15708109800,0,3,10
挺不错的。。,15708109800,1,2,8
.............,15708058200,0,1,8
电影很不错！,15708043200,2,2,8
好看极了，给力,15708029400,0,2,10
im.......,15708021600,0,3,9
It’s ok， let me go...泪崩,15708021000,2,3,10
非常好看。。,15708000000,1,2,10
完美希望可以看到续作,15707997600,1,3,10
精彩之作，算是追完了吗。,15707997600,2,3,10
还可以的不错,15707984400,2,2,10
哦哦好像没什么了，,15707977200,0,1,10
当知道灭霸为了让无限宝石被销毁，差点弄死了自己的时候，当看到归隐田园的灭霸穿着粗陋的布衣而不是辉煌的战甲，在田地里捡农作物的时候，居然对他的死有很大的同情，毕竟这也是一个为了宏大而不是自私自利的目标而牺牲了一切的殉道者，哪怕道路是错误的，但也称得上枭雄。,15707970000,0,2,10
好看，建议去看,15707967000,0,2,9
真的很不错，跟前面连贯性很大，不建议没看过的为了凑热闹看，因为你们真的会看不懂，虽然剧情跟二比还是差了点，但比三要好了，最后要说一句我永远爱唐尼和寡姐,15707963400,2,1,10
电影非常好看,15707960400,1,2,10
不错不错。。。,15707953800,1,2,8
震撼。燃爆了。,15707953800,0,2,10
给弟弟买的，他看的挺高兴的,15707953800,2,1,10
美剧都没错过,15707946000,0,2,10
好看的不得了,15707942400,0,2,10
漫威宇宙 会再回来的,15707939400,2,2,10
老公看的我不知道啊啊啊啊,15707933400,0,2,10
漫威的电影看的很过瘾，至于内容么，超级英雄当然是拯救世界！,15707927400,1,2,7
没那么好了，越来越差,15707925000,1,2,6
很好!!!!,15707910000,1,1,10
还可以的，场面比较壮观,15707896200,1,2,7
不亏不亏不亏…爱你三千遍,15707886000,0,3,10
一般般。😐,15707874600,2,2,10
喜欢！超级好看,15707871000,0,2,10
挺好看的，喜欢,15707864400,2,2,8
终章，完美收官，很让人感动！,15707861400,0,3,10
你叫李俊伟大的安妮日记,15707860200,0,2,9
好看！还不错！,15707857800,0,3,10
这个阶段结束了，铁人和队长，核心人物走向完结，尽管未来更多新角色，而我却没有那么多好奇心再去认识他们了。只有完美谢幕时的惊艳四座，才会让人回忆悠长。,15707847000,0,1,9
好好好，非常好。,15707816400,0,2,10
刚才接到一个河南打过来的电话，只听到一句“中嘞”然后就被挂断了，我寻思着这人是不是有问题想打回去问一问咋回事，一打开拨号键就发现#键不在了,15707809200,2,2,9
满分，不解释。,15707808600,1,2,10
服务到位，十分满意,15707802000,2,3,10
剧情扣人心弦,15707798400,0,2,9
漫威电影是真的质量都不错👍妮妮和黑寡妇没了好难过，还是赚到了我的眼泪,15707796600,0,2,9
就那样，还行吧,15707794200,0,2,6
一直在看漫威电影，很喜欢，不是首场看的，虽然很多都爆了结尾，可自己看还是不一样的，等待下一部,15707781600,2,2,10
这个分要是给少了，我会被打的，漫威教团，惹不起惹不起,15707774400,1,3,10
还是哭死我算了,15707750400,2,2,9
还可以，剧情不错,15707741400,2,3,9
还好啦，不错⊙∀⊙,15707734200,1,4,9
场面火爆，男主帅帅的，故事还行,15707724600,2,2,8
终于完结了  ！,15707713200,0,3,10
超级棒 活过来好嘛,15707712600,0,2,10
不错。完美的一天。,15707702400,1,2,10
好。。。。。,15707690400,1,2,10
哈哈哈呵呵呵,15707680800,0,1,10
好看好看好看,15707666400,1,4,10
挺好看的。好好好,15707664600,0,1,9
超好看的，漫威复仇者大概是漫威的经典了,15707663400,0,1,10
| ू•ૅω•́)ᵎᵎᵎ挺好看的,15707662800,0,2,9
一般，没有想象中那么好看。。。。,15707649600,0,3,7
好看！好看！好看！,15707644200,0,3,8
超级好看，全程很激动，提着心,15707639400,2,4,10
特效超棒，很震撼，值的一看。,15707637000,0,2,8
我觉得还不错,15707625000,2,5,10
很久很久之前看的。蛮精彩的。,15707616600,2,2,9
还好 喜欢看漫威,15707610600,1,2,8
不错，就是结局太无语,15707608200,0,3,10
好看，没说的,15707607600,1,2,10
总体还可以了,15707599800,1,2,8
这这这个真的好,15707593800,1,3,10
为什么要文字才能评论,15707589600,1,4,10
非常好看，真的很震撼！,15707589600,2,2,9
好看非常不错,15707579400,0,2,10
爱你三千年。,15707571600,0,2,10
不错不错的电影,15707565600,0,2,10
很热闹，很有情怀，挺好看,15707559600,2,2,8
我的青春结束了,15707351400,0,2,9
Perfect.,15707329800,2,3,10
挺不错的，好看,15707239200,0,2,10
剧情依旧正义，正义即颜值画面感也很有感觉，气氛铺垫也是不错的,15707233200,0,2,9
挺好看的，，,15707225400,1,2,10
还是可以，商业片,15707220000,0,2,8
这部电影就看的很有激情，很刺激，让我非常的兴奋，热血沸腾。,15707209800,0,2,10
很好看，超刺激,15707206800,0,1,10
一般般般般吧,15707192400,1,2,5
一般情况吧！,15707190600,2,2,5
Goodbye 托尼！凡人之躯，比肩神明。,15707177400,1,3,10
期待下个宇宙的开启,15707162400,1,4,10
看的好惊心！,15707161800,0,2,10
剧情拖拉，还行,15707134800,1,2,7
喜欢，看了这么多年的系列终于告一段落了，熟悉的角色和演员也都纷纷离开了，感觉自己也老了,15707133600,2,2,10
很遗憾复联就这么结束了。,15707107800,0,2,10
很好，最喜欢的特效，很不错的一部剧,15707091000,0,2,10
Goodbye，Ironman,15707084400,0,2,10
很好看，挺不错的电影,15707068200,0,3,9
好看啊！！！！！！,15707064600,0,3,10
很棒的一部电影,15707052600,0,2,10
真的非常好看,15707046600,1,3,9
还可以╮(￣▽￣)╭,15707045400,1,3,10
凌晨时分，去看的。,15707045400,0,2,8
好，很好，非常好,15707029800,2,2,10
很好看，看的比较激动,15707023200,2,1,10
贴心小棉袄袄裙子吗你好像傻丫头的吗,15707014200,0,1,10
唯一的这部是在电影院刷了两遍的电影，漫威电影宇宙“无限传奇”的终局之作，剧情比较偏向粉丝，玩了之前的漫威电影彩蛋的梗，爱你三千遍！,15707011800,1,3,10
已下单小哥很帅,15707007600,0,2,10
给妹他们买的票，他们说好看,15707006400,0,1,10
还可以 就那样,15706996800,1,3,8
非常厉害很厉害超级厉害,15706980000,1,2,10
不错，不错，味道好极啦。电影不错,15706975800,1,2,10
情节一般，场景很精彩,15706971000,1,2,10
挺好的，不错,15706963800,2,3,10
终局之间，从复联二开始，没想也跌跌撞撞，跟到了复联四！,15706941600,1,3,7
