content,time,gender,user_level,score
值得推荐，国产搞笑景点再现。,15707914800,1,3,10
挺好看的，中国动漫也在不断的进步,15707910000,0,2,10
还好的，不错哦,15707906400,0,2,10
个人喜欢看动漫，这部电影还是不错的，值得推荐,15707906400,2,2,9
觉得蛮好看的,15707904000,0,2,10
很好看，，，，,15707904000,0,2,10
国产动画大电影崛起！！！满分10分，给打满分！哪吒变身后的造型真是帅爆了！配乐震撼！推荐没看的各位真有必要去看看,15707903400,1,3,10
我命由我不由天,15707900400,1,1,10
时隔两个月再刷一遍，不说别的，牛逼就完事了。,15707895600,1,2,10
好看好看好看,15707894400,1,2,10
故事情节比较简单，但是故事不简单,15707893200,0,2,10
好看很好看，期待姜子牙,15707892000,1,3,10
好看，很不错，喜欢,15707890800,2,2,10
一部史诗级国产动漫 非常好看,15707890800,0,2,10
OK做了boil去你,15707888400,1,1,10
完美完美完美,15707884800,0,2,10
不知道怎么吐槽,15707882400,1,3,9
纯粹是部超烂片，国产，服了,15707881200,1,2,1
还不错，喜欢熬丙的人物性格,15707880000,2,2,8
非常好看 感动了,15707876400,2,2,10
ndjxjx**snnsjxj,15707875200,0,2,10
我觉得很不错，全程无尿点，很棒！,15707871000,2,2,9
很好看，特别喜欢,15707868000,1,3,10
很感人，国产动画棒棒哒,15707863200,0,1,10
超好看的，很不错,15707863200,2,2,10
期待大年初一姜子牙。,15707862000,2,2,10
国漫优秀之作，推荐观看，国漫加油！,15707859600,0,3,10
很好看，剧情紧凑！,15707857200,0,3,10
近起来～国漫真的起来了～特别棒！,15707854200,1,2,9
深有感触啊！,15707853000,2,2,10
近年来最好的国产动画电影,15707847600,1,1,10
功夫帝皇靖浩丰vv,15707844600,2,2,10
挺好看哦哦哦哦哦,15707843400,1,2,10
好看  完美,15707843400,2,3,10
不错不错不错,15707841600,0,2,8
还不错~喜欢长大的哪吒~,15707839800,0,4,8
好看好看好看,15707839200,0,1,10
一开始觉得动画片不太想看，看完还是觉得挺搞笑的，哪吒这个人物还算饱满,15707838000,0,2,9
藕饼爆炸好吃！,15707834400,1,1,9
挺好的，观影效果不错,15707833800,2,1,10
能看得懂的自然喜欢,15707831400,1,3,10
好看好看支持国产,15707825400,0,2,10
这部片子值得推荐,15707824800,0,2,10
好看 值得一看,15707820000,0,1,10
不错  很棒  完美,15707819400,1,2,10
动漫崛起了吗？这是？,15707808600,1,4,9
好看好看好看,15707807400,0,2,10
还可以，大型亲子现场哈哈哈，旁边的家长打鼾我。。。,15707805000,1,2,8
挺好的，欢迎大家收看,15707803200,1,2,10
值得强推真心赞，给国漫的崛起振奋，期望能出更多质量好国漫,15707803200,0,2,10
好看哈哈哈好,15707801400,1,2,10
挺好不错可爱,15707796600,2,2,10
带孩子一起看的，满分，制作精良，场面宏大，每一个角色都很有特点，喜欢小哪吒双手插兜的形象。,15707784000,2,1,10
爱了这对cp！,15707783400,2,2,9
弟弟妹妹说还不错。,15707782800,0,2,6
非常不错的电影,15707782200,1,1,10
默默看了好几遍,15707773800,0,2,8
嗯挺不错的    。,15707773200,2,2,10
第二部何时出啊,15707772000,0,2,9
效果很震撼，小哪吒很有意思！动漫奇迹呀！,15707769600,1,3,10
还行吧，我是在大家都说好的情况下去看的，感觉就很一般啊，没有口碑好的那么夸张的情况吧，不是很懂,15707769000,2,1,5
非常好特别喜欢,15707767200,0,2,10
OK看看咯李金龙哦,15707757600,0,2,8
挺好看的，国漫雄起,15707755200,2,4,10
还行吧，动画片也挺好看的。,15707754000,0,2,9
好看好看😊,15707753400,2,3,10
很震撼，国漫真的越来越好了,15707752800,0,3,10
还行我感觉吧,15707752200,1,3,8
感人的非常感人,15707743800,1,1,10
五星好评大哪吒,15707743800,1,2,10
棒棒哒，非常好看,15707742600,2,2,9
不错值得一看,15707731200,0,1,8
很好啊，挺带劲,15707731200,1,4,10
剧情紧凑，幽默风趣。,15707724000,0,2,10
好看，想不到国产电影拍的这么好，对白酷酷的，画面也做的非常棒。,15707723400,2,2,9
世界上总有那么几个懂你的人在守护你,15707722200,2,2,10
必须十分好吧,15707717400,2,2,10
很好看666,15707717400,1,3,10
比想象中好 可以看两遍,15707717400,0,2,9
剧情一般 但是后期还是蛮感动的,15707710800,0,2,7
还行，不是我喜欢的类型,15707710800,0,2,8
国漫崛起，加油,15707706600,2,2,10
可以。。。。,15707705400,1,2,10
好看，第一次去电影院看动画片，没有失望,15707704200,2,2,10
超棒哦，特效满分,15707703600,0,2,10
好。不错。值得购买。,15707701800,1,2,10
很好看   情节丰富,15707700600,1,2,10
国漫又一力作，很好看，值得二刷,15707699400,1,5,9
啊啊啊酷我99分,15707695200,2,1,9
第一个去电影院看的动漫 好看,15707688600,2,4,10
画面很震撼，很感动,15707687400,2,1,9
好看好看，不用我在说什么了，相信你看过了，没看过的我强烈推荐,15707681400,0,2,10
超好看，大爱,15707681400,2,3,10
很好看的电影,15707681400,1,2,10
还不错，中间也挺感人的,15707680800,0,2,10
好看，扣一分是最后说有彩蛋，然后给了我个三秒钟的《姜子牙》预告。这个片子告诉我们一个道理，自己想要成为什么样的人远比别人认为是个什么样的人重要。培养孩子的时候想让她变成自己喜欢的样子首先得把自己活成自己想要的样子。在此互勉。,15707680200,0,2,9
看到了！国产动画的崛起,15707679600,1,1,10
很不错的国漫,15707675400,0,2,10
看了后感动哭了。,15707674800,2,2,10
好看好看好看,15707669400,2,3,10
怎一个赞字了得 ,15707668200,2,2,10
太好看了！棒棒棒,15707667600,2,1,10
细节不好吧，哪吒有点丑,15707665200,2,2,8
我家不到5岁的娃和大姐姐一起去看的，回来跟我念叨了好多天哪吒,15707665200,2,1,10
挺好看的，带劲,15707663400,0,2,10
和她看的最后一个电影，记忆停留在了这里.,15707660400,1,2,10
很好看 很有教育意义 第一次看动画片还想再看一遍,15707658000,2,4,10
喜欢喜欢喜欢~   推荐看哦最喜欢丙丙了,15707657400,0,2,10
好看好看好看,15707657400,2,2,10
不错哦真的不错,15707655600,1,3,10
好看(｡･ω･｡)ﾉ♡,15707655000,1,2,10
是今年看过的最好看的电影 特别喜欢,15707651400,2,2,10
你在哪里等我哈哈,15707650200,1,2,10
非常好非常好,15707650200,0,3,9
特别好看。。,15707649000,0,2,10
好看！看过的最好看的一部动画片之一！很感人也很好玩,15707643600,0,3,10
我觉得挺好看的，,15707642400,0,2,8
不一般，不一般,15707638200,2,2,9
不怎么样，剧情一般，画风还可以，但表现手法没有什么长进，重要的是意义不明确，缺乏内涵！,15707632200,1,3,5
我命由我不由天的中国气质,15707631600,1,2,8
敖丙的人物形象很丰富 也很摔7爱辽爱辽 哪吒也很可爱,15707631600,2,2,8
人生靠自己。时刻准备着,15707631000,0,2,10
很赞，儿子看的很开心,15707628000,1,3,9
先抛去中国之前和现在的影视发展来讲，我对这个动画的评价吧就是挺好玩的，搞笑有意思，反正很不错的,15707625000,0,3,10
挺好的挺好的,15707617200,0,2,10
好看，值得一看,15707614800,2,3,10
好看的电影剧本,15707614200,1,3,10
龙王刻画的完美,15707610600,1,3,10
味道还不错，汤都喝完了,15707601000,2,1,10
非常励志，很好的一部亲子电影,15707601000,1,3,10
很感人，，好看,15707598600,1,2,10
这这这个真的好,15707593200,1,3,10
很好看的一部电影  笑点十足  感人,15707593200,0,2,10
超好看的，很赞,15707584800,2,1,10
女儿的最爱，特别喜欢，还准备去看一次,15707583600,2,3,10
这是我看过的最好的国漫，我大学时候也是学动画专业的。国漫能有这样一部作品真让人振奋。每一个人物都有血有肉，都有自己的立场，没有脸谱化的纯坏蛋，绝对好片。目前是绝对的国漫巅峰。看到还有写差评的我真想说USB。,15707576400,1,4,10
太棒了，真的值得一看,15707575200,1,2,10
国漫也将要崛起了，期待下一部姜子牙,15707573400,2,3,10
很不错的国产动漫,15707563800,0,2,10
很不错。。。。。。,15707562600,1,1,10
我命由我不由天 看个动画片看到瞎哭 哭出声的那种,15707559600,0,4,10
巨好看~~~,15707556600,2,3,10
很好看，不愧是国产最棒的,15707554200,0,2,10
不错，……………,15707551200,0,2,9
感动，非常有震撼力,15707545200,2,2,7
小时候哪吒的印象太深了，看这个感觉不习惯了,15707533800,1,2,6
挺不错的 期待下一部,15707519400,1,2,10
本来看之前期待值不高 看完👍🏻,15707518200,2,3,10
挺有教育意义的,15707510400,2,3,9
我与天斗。。,15707500200,0,2,9
在UME看的，3D电影不错哦,15707322600,2,1,9
很感动，非常棒👍🏻 ,15707283000,0,2,9
拍的非常昂贵的的筚路蓝缕好的👌,15707282400,1,2,10
你就是娘的唯一,15707272200,0,1,10
看电影之前发现钱包不见了，所以带着一股焦虑的心情看的这部电影。除了解除石化那部分感觉有点恶心，其他剧情都很精彩，人物可爱又酷帅。最后跑公司才发现，钱包落桌上了。。,15707251800,0,1,9
挺好的。。。,15707248200,0,2,8
好看。。。。。,15707217600,1,2,10
效果，台词，表情，剧情，人物，含义，,15707206800,1,3,8
还可以，没有想象中期待,15707206200,1,1,8
OKOKOK,15707205600,2,1,10
哪吒二刷時，本以為不會再哭了，結果還是哭得稀裏譁啦的，一會哭一會笑的，畫質很棒，故事情節也很好，是國漫的崛起，國漫加油(ง •̀_•́)ง,15707205000,2,2,10
好好好好好，,15707201400,2,2,8
特效做得真好,15707199000,0,2,8
不错，很有感觉,15707194200,0,1,10
好看，期待后续作品,15707181000,0,2,10
棒棒棒棒棒👍🏻,15707173800,0,2,10
还可以。。。,15707173200,2,2,8
很不错的动漫，以前从不爱看动漫，,15707169000,2,2,10
感觉很不错 值得推荐,15707166000,0,2,10
国产动漫的小巅峰了。打破常规故事构架、人物善恶跟情节设定，让人耳目一新。很多开头的伏笔都在结尾有了交代。赞。唯一一点就是有点***，上线多长时间了，你要突破60亿嘛。,15707165400,1,3,10
5星好平,15707165400,1,3,10
特效很棒！非常好看的国漫,15707164800,1,1,10
好好看！特别喜欢,15707156400,0,1,10
好看呀！1，,15707154600,2,2,10
龙王儿子真帅,15707149200,2,4,10
第一次看动漫  看哭,15707148000,2,3,10
笑点多，值得一看！,15707145000,0,2,10
帅，感动，震撼人心,15707134800,0,3,10
好看，挺正能量的,15707134200,2,2,10
超级好看超级好看,15707133000,2,3,10
完美，相当不错的国产动画,15707128800,0,2,10
一般般，五分给特效,15707121600,1,3,5
挺不错的都都,15707115600,0,1,10
太好看了。。。,15707112600,1,1,10
好看，藕丙CP非常赞！超喜欢！,15707112000,0,1,10
很好看，也很搞笑,15707110800,2,2,10
作为国产动画片已经很好了  但是跟某国的动画片比起来还差了些  有待提高。。,15707108400,1,4,9
国产动漫正在崛起,15707100600,0,3,9
可以很强势了,15707099400,1,3,9
欢乐多，感人也有,15707095200,0,1,10
喜欢这个版本的小挪吒！,15707094000,0,2,10
很不错，非常好看,15707091600,1,2,10
太好看了国漫加油,15707085000,2,3,10
挺感动的，值得观看。,15707084400,0,2,10
超级好看！！！,15707082000,0,2,10
电影不管是剧情还是画风都是出众的！但是与传统的哪吒敖丙是不是大相径庭呢？？？如果说创新完全没有！现在的电影连动画片都在啃老，不停的翻拍以及改编！多希望有原著大片！电影本身票房溢出了不值这个价！那么肯定有人要喷我了！人家明明50亿摆哪里不是打脸吗？综合原因满多！不解释留着自己想去！八分不过分！良心作！导演加油！,15707080800,1,2,8
好看就对了，值这个价，看场电影，给飞机呼了几次脸。特效很不错哦。以前都不买票看国产片的，最近越来越良心。哈哈。也没啥小鲜肉。一般国产就选新题材，硬核演员，效果错不了。,15707071200,0,2,10
非常不错，值得一看,15707068200,0,1,10
我喜欢   可好看的,15707068200,2,2,10
自己的名自己主宰。,15707065800,0,2,10
超级棒 国产动画之光 画面场景非常强,15707057400,2,2,10
不错挺好的，支持,15707056200,2,2,10
很好看，。。1。,15707053800,1,1,10
真的超级棒啊！票房就是实力的表现啊！在家的时候没有电影院，真的超级想看。一回学校就迫不及待的买了票，真的超级值！没有辜负我都期待！想二刷的，但是电影院真的太远了！,15707049000,0,2,10
动画片都这么ok,15707047800,1,3,9
完美极了实在是,15707047200,0,1,10
国漫崛起了！！,15707041200,0,2,10
9分大半给了特效，还有一些给了配音，细节很好，故事还可以，新颖曲折，但算不上绝妙。支持国漫啦！,15707040600,0,1,9
支持中国动漫，希望可以出更多的精品,15707038200,0,2,10
中国动画越来越好了,15707035800,0,1,10
作为影视来说，画面感很好，各个场景立体效果唯美，视觉效果很棒。但是故事性对于我来说并不是那么有吸引力。,15707032200,0,2,9
电影院必补的影片，这几年的国漫真的是越做越好，这部哪吒的电影颠覆了传统的形象，大胆创新，我很喜欢，支持。,15707025000,1,3,10
总分80分吧,15707023800,1,1,10
非常好，值得一看,15707019000,2,2,10
好看，真的很好看,15707011800,0,1,10
还不错的了了,15707009400,1,2,10
二刷，还是很好看,15707008200,2,3,10
其实电影还不错～但是大家吹得太过分了,15707003400,2,2,7
挺好的！孩子喜欢看，钱花的值！,15706999800,2,2,8
很好看，人物形象很到位,15706995000,0,2,10
好看         可以,15706994400,0,2,10
非常不错，值得一看有教育意义,15706993200,0,2,10
国产动画终于有像样的了,15706990800,1,2,9
挺喜欢的。。。。,15706989600,0,2,10
好看 好看  好看,15706987200,0,1,10
国漫的里程碑,15706983000,1,2,10
好看     最帅的动画哪吒,15706977600,1,2,10
我一大男人差点被感动哭了,15706974600,1,1,10
国漫电影逐步强大，剧情和画面特效都很赞！,15706974000,1,1,9
全是用烂的梗，剧情莫名其妙的，完全就是为了体现特效硬凑的剧情。除了特效没看出其他有啥特别的。,15706974000,1,3,6
国产动画雄起咯！,15706966800,1,4,10
很好看，好搞笑也很感人。,15706965600,1,2,10
非常感动，爱国,15706963800,2,3,10
哪吒之魔童降世好看的不的了。,15706963800,0,2,10
非常感人，超级好看,15706961400,0,2,9
国产动画的又一个里程碑式的电影作品，感谢饺子，以后的中国动画一定可以越来越好，加油！,15706959600,1,2,9
好看 感人 哪吒长得太有喜感了 一看就不是好小小孩 结束的时候电影院大灯马上开了 3个彩蛋看的很模糊 ,15706957200,2,2,10
不错不错不错,15706956000,0,2,9
好看好看的，喜欢,15706950600,0,2,8
国漫崛起指日可待,15706947000,0,2,10
陪孩子去看的，大人对这个没多少兴趣。,15706944600,2,1,8
有内涵，有特效，有思考，中国动画崛起指日可待。,15706940400,0,3,10
好看，推荐！,15706939800,2,3,10
我命由我不由天,15706939200,0,2,10
颠覆了李靖以往在影视中的形象,15706931400,0,1,9
喜欢哪吒，嘿嘿😁,15706930800,2,3,10
导演讲故事还是很顺畅的。,15706927200,0,3,8
很好。很划算。,15706926000,0,1,10
国漫崛起了奥,15706924200,0,2,10
很好看，值得了,15706923600,1,2,10
你的说    很有意义,15706921200,1,2,10
很励志，很有教育意义,15706920000,1,3,9
笑着哭出鼻涕泡   哈哈哈   很好看    人心中成见是座大山   若命运不公就和它斗到底,15706906200,2,2,10
很好看，。。。。。,15706906200,2,1,10
完美(｡･ω･｡)ﾉ♡,15706902600,0,1,10
出乎意料的好看，棒极了,15706902000,0,3,9
看了还可以，二刷,15706902000,1,3,10
挺好的呢  好,15706897800,0,1,10
6分吧，不多不少,15706896600,0,3,6
好看，推荐都去看。,15706890600,0,2,9
还可以，环境不错，就是那天有小孩比较吵,15706889400,2,1,8
特别好看  明明是一部动画片  却让成人看出了很多感触,15706888800,2,2,10
好看孩子和大人都喜欢,15706886400,0,2,10
好看的，非常奈斯,15706881600,2,2,10
真的很一般，真不知道是怎么被捧上天的。电影毕竟是讲故事的，哪吒给我的感觉就是本末倒置了，我相信它的制作者们也花了很多心血，但我觉得他们的心血大多都放在怎样让画面更好看，怎样让特效更炫酷上了。作为一部电影，它是有观赏价值的，毕竟那些画面确实很好看，但作为一个故事，就我个人而言，它很失败。,15706874400,0,2,6
难得的国产良心动漫   需要鼓励,15706866600,1,4,9
超级好看，，，，，，，，，,15706861200,0,2,10
喜欢哪吒，蠢萌蠢萌的,15706857000,0,2,8
影片剧情很充实，剧情很连贯，也很感人。能把人代入情节中。人物塑造很成功，造型设计很吸引人眼球。给每个人不同的观影感受，把人类的善恶通过不一样的方式表现出来，善恶并不是绝对的，剧情反转的很好。,15706856400,2,1,10
好看，弘扬中国传统文化。,15706850400,0,2,9
还行吧，没有大家说的那么好看,15706843200,0,2,8
陪小朋友看的，自己没什么感觉,15706840800,1,2,10
不错不错。。。,15706840200,1,3,10
可以，国产片,15706840200,2,3,10
不错，挺好看的，,15706839000,1,1,10
中国动画的强大,15706832400,2,2,10
好看！值得买票！,15706831800,2,4,9
好看，开心得很呀,15706828800,0,2,10
很有意义，很好看。。。。。。。,15706828200,1,3,10
很不错，，，，,15706828200,0,2,10
啊哈哈，电影好看,15706824000,0,2,10
值得，虽然技术还有待提高，但情节真的很值得。,15706822800,2,2,10
好看的不得的,15706822200,1,2,10
看了三遍，不错，国产希望,15706821600,1,3,10
完美！！！！！！值得推荐,15706817400,0,2,10
妈妈说，还不错,15706813800,2,2,10
很好看阿，，,15706813200,2,1,10
........,15706812000,2,4,9
还好吧！！！！！！,15706810800,1,2,8
特效做的很好，宣传真善美，值得一观！,15706810800,0,2,9
非常好看，动画效果好，故事连贯性也不错。,15706810200,2,1,10
nice 很🐮🍺,15706809600,1,3,10
看了三遍 还不错,15706807200,0,3,10
很好看！！！,15706806600,1,1,10
二刷。因为喜欢。,15706804800,2,4,10
好看，  特别喜欢,15706804800,1,2,10
确实好看、特效剧情非常棒，可以说有血有肉了,15706803000,0,2,10
这个还是比较好的,15706799400,0,2,7
超级超级超级好看！！！,15706797600,2,3,10
最让我印象深刻的是哪咤说的我命由我不由天,15706797600,2,2,10
国漫又一次巅峰之作,15706797000,0,2,10
很好看很好看,15706793400,0,2,10
Good！！！,15706792800,1,2,9
支持国漫，棒棒,15706792800,0,2,10
特别好看，特别喜欢，希望国漫继续加油,15706791000,0,1,10
好看得很，喜欢,15706789200,0,3,10
难得一见的国产好片，剧本改编的很棒，满满的中国风。,15706789200,1,4,10
孩子要哄着养,15706786200,0,2,10
真心话了  很喜欢，国产动画良心,15706783800,2,2,10
好看  喜欢哪吒的酷酷的样子,15706782600,0,2,9
好看，宝宝喜欢！我也喜欢😁,15706780200,2,2,9
表示作为一个男的看哭了几次。,15706779000,1,2,10
很好看……………,15706777800,2,2,10
还好，孕期跟老公一起去看的，,15706776000,2,1,5
好看好看好看,15706774200,0,2,9
值得一看 ，有教育意义,15706770600,2,3,10
很好看，非常喜欢,15706770600,0,3,10
好看  故事感人,15706770600,0,1,10
很满意，不错呢。值得看,15706768800,2,1,10
期待国漫崛起,15706765200,0,2,9
一部值得推荐的国漫,15706764600,1,3,10
还行吧，没有预想,15706759800,0,1,8
好看！国漫崛起！,15706758600,0,2,10
刷了两遍，就是好看,15706754400,2,2,10
哭的稀里哗啦,15706753800,2,2,10
后面渐入佳境,15706752600,2,2,8
二刷，陪小孩看的，还是不错的,15706750800,0,2,10
国漫的一大亮点,15706749000,1,3,10
演的比较励志   我却看的是人情,15706748400,2,3,10
国产动漫，必须支持，画风很好，特效很真实！,15706747800,1,2,10
国漫经典良心作品了,15706744800,1,2,9
国产电影的崛起，必须为🇨🇳点赞,15706744200,0,3,8
挺感人的前期也很搞笑,15706743000,1,2,10
还行吧，特效不错，剧情一般，。,15706742400,1,2,6
看了一下，感觉挺好的希望尽快出第二部,15706740000,0,1,8
很好看，值得一看，敖丙超级帅，嘻嘻,15706740000,0,2,10
还不错，很喜欢,15706739400,1,2,10
本来电影挺不错的，就是几个月不下线真的没谁了，想从新看一遍都没有网络平台放,15706738200,1,2,6
完美中国动漫点赞,15706735200,1,4,10
声效 不错 动漫人物刻画的不错  内容也不错 哪吒:我命由我 不由天  刚开始觉得哪吒胆大妄为 从不把人放在眼里 其实就是想得到别人的认可 后来觉得这哪吒也不丑  还很帅呢！  命运掌握在自己手中 ,15706734000,2,2,10
好看。电影作品中蕴含很多教育的哲理，值得品味。推荐大家看,15706729200,1,2,10
还不错，国漫。,15706728000,1,3,8
好看，国产动画片可以到这水平，真的刮目相看,15706722000,1,3,10
国产中的NO1,15706720800,0,2,10
我爱！！给我锁死！！(ง •̀_•́)ง,15706714200,2,2,10
很不错~国漫崛起,15706708200,0,2,10
动画巅峰  国漫崛起 50亿票房  观众就是电影质量对演员与导演的回馈,15706707600,0,3,10
上映70多天了，已经没人看了，硬生生要把票房撑到50亿吗？😂,15706707000,1,2,0
很好看！啊啊啊,15706699200,0,2,10
国漫的崛起，个人觉得《哪吒之魔童降世》还是有很多发光点的，自从《大圣过来》的热映之后，瞬间看到了国漫的崛起，虽然和国外的动漫还有很大差距，但国漫一直在进步，还是应该多多支持的，希望中国国漫可以有更好的作品呈现。期待,15706698000,2,2,8
必须赞的！大爱藕丙！藕丙加油！,15706687800,2,2,10
首先特效剧情不错，这个毋庸置疑，差评给导演制作哪吒的形象不能恭维 说话流里流气 走路插口袋吊儿郎当 跟那些社会锅盖头有什么区别 不知道导演是怎么想的，这样就能表现哪吒内心的心酸别人排挤的可怜吗 明明有更好的形象去表达 小时候被欺负只有两个片段而已 根本共鸣 如果多点 少点长大后的经历 会不会更好 还有说话语气能不能不要那么浮夸 到处都是现代词汇,15706671000,2,3,6
哈哈哈哈哈笑死我了,15706668600,0,2,10
好看好看好看,15706665600,0,3,10
很好 很喜欢 跟想象的一样好 下次继续下单,15706663200,0,2,10
难得好的国产动漫,15706656600,1,4,9
好看好看好看,15706655400,2,3,10
超级好看。看过的都觉得好看,15706647000,0,1,10
